Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0101.a5.txt,a5,2035.12,1077.41,407.02,758.18,5,1,1
0102.a5.txt,a5,1652.24,1030.68,267.51,873.33,7,3,5
0103.a5.txt,a5,1840.22,1095.15,386.0,619.39,5,3,3
0104.a5.txt,a5,1901.79,928.57,366.07,633.93,5,3,6
0105.a5.txt,a5,1537.74,1034.48,577.82,549.86,2,4,3
0106.a5.txt,a5,1990.43,956.94,650.72,842.11,2,0,0
0107.a5.txt,a5,1994.84,1212.38,541.7,773.86,3,0,0
0108.a5.txt,a5,2093.39,1058.37,326.85,762.65,7,0,5
0111.a5.txt,a5,1666.67,1037.04,305.56,675.93,7,6,4
0112.a5.txt,a5,2165.04,1073.65,576.75,638.86,3,0,2
0115.a5.txt,a5,1329.33,1072.04,480.27,746.14,12,2,2
0119.a5.txt,a5,1833.88,1085.53,230.26,731.91,7,3,3
0121.a5.txt,a5,1541.99,1023.62,380.58,610.24,6,0,6
0122.a5.txt,a5,1753.76,1018.6,363.15,717.45,6,0,1
0125.a5.txt,a5,2221.16,1000.95,476.64,877.03,1,0,2
0128.a5.txt,a5,1940.44,1123.92,480.31,826.13,1,6,0
0130.a5.txt,a5,1656.15,922.71,283.91,733.44,14,2,1
0134.a5.txt,a5,1749.02,980.39,470.59,705.88,4,1,3
0137.a5.txt,a5,1802.22,1053.6,452.87,573.01,2,2,3
0139.a5.txt,a5,1340.29,1187.8,313.0,521.67,9,3,5
0140.a5.txt,a5,1713.0,1022.42,278.03,627.8,6,3,2
0149.a5.txt,a5,2570.98,1230.28,362.78,820.19,1,0,2
0157.a5.txt,a5,1733.8,1164.62,586.69,630.47,3,0,0
0158.a5.txt,a5,1578.03,1194.42,540.54,758.5,7,0,3
0159.a5.txt,a5,2106.18,1053.09,330.72,957.35,0,0,0
0161.a5.txt,a5,2184.74,875.5,257.03,963.86,3,0,3
0163.a5.txt,a5,2307.11,930.41,431.16,877.46,1,0,0
0165.a5.txt,a5,2039.93,980.9,286.46,824.65,5,0,3
0171.a5.txt,a5,1570.61,943.8,381.84,518.73,15,2,2
0178.a5.txt,a5,1518.22,1012.15,458.84,789.47,9,5,3
0182.a5.txt,a5,2258.58,1069.43,422.98,734.24,7,0,2
0185.a5.txt,a5,1802.03,1040.61,219.97,719.12,4,3,3
0186.a5.txt,a5,1954.77,961.23,395.8,880.45,6,0,0
0187.a5.txt,a5,2275.18,1097.12,359.71,773.38,5,1,5
0188.a5.txt,a5,1557.44,1048.57,454.9,747.88,6,1,2
0192.a5.txt,a5,1663.87,1109.24,436.97,647.06,9,2,2
0193.a5.txt,a5,2181.35,1069.29,393.5,829.77,1,0,1
0197.a5.txt,a5,1503.64,881.16,331.45,371.87,7,1,5
0198.a5.txt,a5,2131.15,1002.89,366.44,800.39,2,0,0
0199.a5.txt,a5,1810.43,985.78,379.15,777.25,6,5,1
0200.a5.txt,a5,1468.05,1157.17,423.14,682.21,5,3,4
0206.a5.txt,a5,1479.39,945.84,355.7,703.31,5,1,5
0214.a5.txt,a5,1625.66,1089.63,307.56,667.84,9,4,2
0215.a5.txt,a5,1767.01,946.05,281.47,555.12,9,2,3
0219.a5.txt,a5,2055.66,987.43,601.44,888.69,3,0,3
0222.a5.txt,a5,1767.53,1143.13,413.06,691.64,0,1,1
0223.a5.txt,a5,1592.45,1026.42,384.91,671.7,6,2,6
0227.a5.txt,a5,1623.38,923.52,346.32,757.58,12,2,1
0234.a5.txt,a5,1586.09,916.03,330.79,508.91,10,6,4
0238.a5.txt,a5,1892.74,1135.65,325.97,662.46,3,1,0
1003.a5.txt,a5,2196.48,1038.0,240.96,713.62,4,0,0
1005.a5.txt,a5,1795.07,993.84,354.39,577.81,3,1,4
1006.a5.txt,a5,1602.51,1020.59,402.86,653.54,9,4,2
1008.a5.txt,a5,1917.59,1014.26,427.89,871.63,6,0,1
1010.a5.txt,a5,2223.27,870.39,302.74,889.31,5,0,8
1012.a5.txt,a5,1970.2,1018.21,322.85,745.03,3,0,0
1013.a5.txt,a5,1672.44,1117.85,294.63,684.58,3,3,2
1014.a5.txt,a5,1847.91,1005.72,351.59,784.96,6,3,3
1018.a5.txt,a5,2032.59,951.97,274.44,891.94,5,1,0
1021.a5.txt,a5,1818.18,1126.76,396.93,665.81,4,0,5
1022.a5.txt,a5,2369.12,1144.63,452.53,1047.03,1,0,0
1023.a5.txt,a5,1644.79,988.42,432.43,679.54,7,3,3
1032.a5.txt,a5,2153.47,1155.12,569.31,660.07,0,0,1
1034.a5.txt,a5,1808.94,1006.1,376.02,741.87,4,3,6
1036.a5.txt,a5,1382.84,934.7,307.3,678.62,5,1,3
1041.a5.txt,a5,1634.04,859.57,434.04,714.89,11,2,6
1043.a5.txt,a5,1471.86,1108.23,536.8,632.03,8,1,0
1048.a5.txt,a5,2146.15,1000.0,407.69,669.23,3,0,6
1050.a5.txt,a5,1606.79,1097.8,479.04,758.48,6,4,1
1055.a5.txt,a5,1795.81,1057.43,455.79,1039.2,1,2,1
1057.a5.txt,a5,1369.53,1199.35,340.36,607.78,6,2,2
1061.a5.txt,a5,1464.23,1064.89,232.95,582.36,15,2,3
1062.a5.txt,a5,1486.81,863.31,447.64,767.39,7,2,6
1064.a5.txt,a5,2175.66,1232.88,580.18,604.35,2,0,2
1065.a5.txt,a5,1812.96,959.8,385.56,721.9,10,3,4
1067.a5.txt,a5,1742.81,1057.53,338.41,634.52,8,4,4
1068.a5.txt,a5,1956.78,1296.52,504.2,720.29,2,2,1
1070.a5.txt,a5,1353.79,1182.31,324.91,694.95,11,2,2
1072.a5.txt,a5,1389.5,1049.52,458.24,539.54,5,3,8
1074.a5.txt,a5,1901.79,1062.5,526.79,839.29,3,1,1
1081.a5.txt,a5,2031.98,1063.03,413.92,893.7,2,0,4
1088.a5.txt,a5,1357.39,1108.25,317.87,850.52,7,0,0
1094.a5.txt,a5,1480.82,1338.09,249.78,544.16,9,1,2
1095.a5.txt,a5,1485.66,1033.88,417.03,807.99,7,1,1
1099.a5.txt,a5,1538.46,1102.56,333.33,606.84,11,1,0
1100.a5.txt,a5,1584.75,1110.17,322.03,567.8,4,1,4
1102.a5.txt,a5,2060.66,999.11,312.22,686.89,3,1,2
1104.a5.txt,a5,1675.0,983.33,441.67,575.0,9,5,6
1112.a5.txt,a5,1989.49,1081.08,518.02,1013.51,6,0,1
1121.a5.txt,a5,1507.65,1056.08,502.55,670.07,4,2,2
