Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b2.txt,b2,2060.66,1088.31,374.67,562.0,3,0,2
0134.b2.txt,b2,1725.89,922.17,626.06,1184.43,3,0,1
0139.b2.txt,b2,1537.62,1232.28,468.92,894.22,2,0,2
0140.b2.txt,b2,1973.95,991.98,511.02,591.18,4,0,2
0165.b2.txt,b2,1907.72,1011.54,301.69,754.21,1,0,0
0200.b2.txt,b2,1758.03,1134.22,595.46,1020.79,2,0,11
0300.b2.txt,b2,1735.61,1312.95,368.71,818.35,2,0,3
0308.b2.txt,b2,1561.73,1005.72,637.78,907.6,1,0,4
0310.b2.txt,b2,2299.9,942.25,445.8,506.59,5,0,1
0313.b2.txt,b2,1509.73,1035.02,474.71,871.6,6,1,5
1003.b2.txt,b2,1794.54,1196.36,377.11,793.24,7,0,2
1006.b2.txt,b2,1805.7,1003.17,443.51,633.58,0,0,2
1006.b2i.txt,b2,1805.7,1003.17,443.51,633.58,0,0,2
1021.b2.txt,b2,1974.87,1032.32,350.09,637.34,6,0,3
1023.b2.txt,b2,1506.23,939.98,475.65,702.15,5,1,5
1057.b2.txt,b2,1780.62,1119.46,488.35,706.24,1,0,2
1097.b2.txt,b2,1751.5,988.02,523.95,681.14,4,0,2
1100.b2.txt,b2,1504.02,1056.26,459.24,734.79,4,0,1
1104.b2.txt,b2,1868.88,1056.75,469.67,547.95,2,0,1
1104.b2i.txt,b2,1868.88,1056.75,469.67,547.95,2,0,1
1112.b2.txt,b2,1869.09,922.71,347.0,583.6,17,0,4
1508.b2.txt,b2,1446.24,1341.58,313.99,599.43,4,0,2
1520.b2.txt,b2,1757.88,1194.03,422.89,613.6,5,0,3
1528.b2.txt,b2,1696.43,1044.64,285.71,821.43,6,0,0
1532.b2.txt,b2,1474.36,979.85,503.66,906.59,11,1,6
1533.b2.txt,b2,1792.25,1199.71,299.93,709.58,7,0,4
1541.b2.txt,b2,2000.0,869.11,596.86,890.05,2,0,1
2012.b2.txt,b2,1812.3,884.57,215.75,755.12,2,0,1
2019.b2.txt,b2,1634.38,1162.23,556.9,799.03,1,0,1
2028.b2.txt,b2,1888.76,1286.21,359.21,799.54,2,0,0
2028.b2i.txt,b2,1867.12,1271.48,355.1,790.38,2,0,0
2030.b2.txt,b2,1565.84,1364.18,557.53,593.12,0,0,0
2032.b2.txt,b2,1929.82,1052.63,350.88,760.23,2,0,4
2034.b2.txt,b2,1767.37,1042.3,513.6,528.7,4,0,3
2066.b2.txt,b2,2111.96,1157.76,496.18,903.31,3,0,3
2070.b2.txt,b2,1638.86,1177.63,490.68,726.2,6,0,3
2070.b2i.txt,b2,1634.05,1174.17,489.24,724.07,7,0,3
3013.b2.txt,b2,1572.63,996.4,396.16,684.27,7,0,9
3020.b2.txt,b2,1792.36,1087.17,254.65,548.48,2,0,2
3501.b2.txt,b2,1696.91,896.48,266.81,608.32,5,0,10
3503.b2.txt,b2,2104.07,938.91,350.68,757.92,4,1,6
3504.b2.txt,b2,2066.35,1071.09,322.27,663.51,6,0,2
3505.b2.txt,b2,1853.45,1174.57,420.26,754.31,5,0,1
3506.b2.txt,b2,1803.46,1058.32,410.37,583.15,3,0,1
3507.b2.txt,b2,1673.57,977.63,364.54,944.49,3,0,2
3508.b2.txt,b2,2029.22,1071.43,340.91,827.92,4,0,1
3509.b2.txt,b2,1902.34,1007.12,508.65,783.32,3,0,3
3511.b2.txt,b2,1925.52,1108.08,399.64,572.21,4,0,5
3518.b2.txt,b2,1286.73,1276.6,314.08,557.24,8,1,8
3519.b2.txt,b2,1645.45,1200.0,381.82,663.64,5,0,0
3520.b2.txt,b2,1984.13,1071.43,349.21,682.54,4,0,4
3522.b2.txt,b2,1929.82,1052.63,538.85,789.47,5,0,0
3523.b2.txt,b2,2272.33,1167.11,327.14,689.66,2,0,7
3525.b2.txt,b2,1800.23,1103.37,406.5,813.01,5,0,5
4012.b2.txt,b2,1963.25,1063.83,464.22,638.3,0,0,0
4036.b2.txt,b2,1686.42,975.39,437.56,765.72,10,2,8
4038.b2.txt,b2,1958.12,1329.84,502.62,523.56,2,0,2
