Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0100.a1.txt,a1,1524.48,1216.78,531.47,797.2,0,0,0
0101.a1.txt,a1,1161.05,1235.96,836.45,599.25,1,0,0
0102.a1.txt,a1,1477.95,1191.9,476.76,679.38,1,0,0
0103.a1.txt,a1,1092.72,1357.62,573.95,596.03,1,0,1
0104.a1.txt,a1,1314.5,1191.65,675.68,577.4,0,1,2
0105.a1.txt,a1,1245.38,1393.34,641.18,616.52,2,0,2
0106.a1.txt,a1,1533.74,1288.34,871.17,834.36,1,0,0
0107.a1.txt,a1,1204.99,1440.44,609.42,886.43,0,0,0
0108.a1.txt,a1,1241.83,1320.26,627.45,444.44,1,0,0
0109.a1.txt,a1,1289.2,1347.27,673.64,708.48,0,0,0
0110.a1.txt,a1,1430.4,1392.08,664.11,830.14,1,0,0
0111.a1.txt,a1,1412.5,1375.0,712.5,700.0,0,0,1
0112.a1.txt,a1,1307.97,1272.29,677.76,784.78,0,0,1
0113.a1.txt,a1,1352.99,1277.4,891.91,733.18,0,0,2
0114.a1.txt,a1,1190.78,1523.69,909.09,614.6,0,0,0
0115.a1.txt,a1,1370.76,1148.83,796.34,809.4,0,0,1
0116.a1.txt,a1,1330.41,1418.13,847.95,628.65,0,0,0
0118.a1.txt,a1,1297.51,1310.62,655.31,629.1,0,0,1
0119.a1.txt,a1,1265.66,1378.45,726.82,789.47,0,0,0
0120.a1.txt,a1,1299.87,1467.18,823.68,669.24,3,0,0
0121.a1.txt,a1,1381.38,1361.36,630.63,700.7,0,0,2
0122.a1.txt,a1,1541.31,1393.34,702.84,690.51,0,0,1
0123.a1.txt,a1,1238.94,1352.72,771.18,594.18,1,0,0
0124.a1.txt,a1,1624.59,1064.76,592.76,735.46,0,3,3
0125.a1.txt,a1,1820.3,1108.52,583.43,840.14,0,1,0
0127.a1.txt,a1,1148.65,1405.41,851.35,608.11,0,0,0
0128.a1.txt,a1,1355.93,1210.65,726.39,641.65,0,0,0
0130.a1.txt,a1,1393.86,1125.32,677.75,869.57,1,0,1
0131.a1.txt,a1,1367.19,1471.35,507.81,781.25,0,0,0
0133.a1.txt,a1,1103.2,1364.18,818.51,557.53,0,0,0
0134.a1.txt,a1,1349.4,1240.96,1156.63,722.89,0,0,0
0135.a1.txt,a1,1542.78,897.62,645.16,841.51,0,0,4
0136.a1.txt,a1,1484.81,1203.6,652.42,551.18,0,1,0
0137.a1.txt,a1,1104.22,1228.29,843.67,818.86,0,0,2
0138.a1.txt,a1,1364.19,1266.75,718.64,755.18,1,0,0
0139.a1.txt,a1,1085.86,1565.66,681.82,530.3,0,0,0
