Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b5.txt,b5,1742.7,1066.12,363.92,830.34,13,0,1
0140.b5.txt,b5,1396.54,1018.58,493.27,557.34,11,0,1
0165.b5.txt,b5,1704.38,961.81,396.04,657.71,10,0,0
0200.b5.txt,b5,1686.3,991.94,520.77,688.16,7,0,1
0300.b5.txt,b5,1765.93,810.25,408.59,747.92,15,1,10
0310.b5.txt,b5,1551.61,1025.97,512.98,791.64,9,0,2
1003.b5.txt,b5,1518.11,1121.17,417.83,529.25,9,0,2
1021.b5.txt,b5,1749.84,1017.06,290.59,581.17,12,1,4
1023.b5.txt,b5,1368.48,1226.3,586.49,657.58,12,2,2
1057.b5.txt,b5,1566.95,974.36,450.14,786.32,9,0,1
1100.b5.txt,b5,1753.39,1083.39,335.0,705.63,13,0,2
1508.b5.txt,b5,1220.3,1162.49,430.31,404.62,16,0,4
1532.b5.txt,b5,1504.97,1237.59,328.5,397.25,13,0,1
1533.b5.txt,b5,1500.62,1201.31,422.3,479.7,14,0,4
2019.b5.txt,b5,1369.65,1128.4,326.85,490.27,6,0,2
2028.b5.txt,b5,1303.36,1331.82,381.33,461.01,9,0,6
2032.b5.txt,b5,975.86,1222.33,503.02,523.14,11,1,4
2034.b5.txt,b5,1513.11,951.31,434.46,741.57,10,0,3
2066.b5.txt,b5,1295.55,1384.62,364.37,526.32,7,0,2
3018.b5.txt,b5,1467.53,1006.49,525.97,701.3,7,0,2
3020.b5.txt,b5,1691.42,816.83,280.53,783.83,9,0,2
