Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
1032.a4.txt,a4,1162.11,1269.53,546.88,673.83,7,1,1
1034.a4.txt,a4,1518.05,1114.65,573.25,668.79,9,0,2
1036.a4.txt,a4,1546.28,1139.95,496.61,620.77,10,0,3
1043.a4.txt,a4,1356.1,1043.9,478.05,760.98,8,0,1
1048.a4.txt,a4,1432.41,1307.07,564.01,528.2,4,0,2
1049.a4.txt,a4,1368.31,1286.01,493.83,802.47,7,0,1
1050.a4.txt,a4,1541.26,1189.32,400.49,776.7,4,0,2
1052.a4.txt,a4,1360.95,1124.26,463.51,611.44,9,0,1
1055.a4.txt,a4,1470.59,996.2,417.46,597.72,10,1,1
1057.a4.txt,a4,1322.03,1186.44,406.78,508.47,7,0,2
1060.a4.txt,a4,1661.47,924.2,332.29,1007.27,4,0,0
1061.a4.txt,a4,1448.73,1157.1,366.89,564.44,4,0,3
1064.a4.txt,a4,1574.47,1038.3,434.04,612.77,8,0,3
1065.a4.txt,a4,1326.01,1182.43,396.96,709.46,9,0,1
1066.a4.txt,a4,1710.26,955.73,291.75,744.47,5,0,2
1067.a4.txt,a4,1443.85,983.96,427.81,598.93,5,2,0
1068.a4.txt,a4,2137.77,962.0,237.53,665.08,2,0,5
1070.a4.txt,a4,1239.04,1239.04,668.86,383.77,5,0,1
1072.a4.txt,a4,1572.94,920.95,407.5,733.5,4,0,1
1074.a4.txt,a4,1393.67,1040.72,452.49,742.08,7,0,1
1076.a4.txt,a4,1560.04,1042.94,289.22,587.2,7,1,1
1077.a4.txt,a4,1871.48,992.11,574.97,901.92,8,0,3
1081.a4.txt,a4,1561.64,1095.89,255.71,602.74,8,0,3
1088.a4.txt,a4,1246.17,1235.96,326.86,439.22,6,0,1
1090.a4.txt,a4,1488.79,1156.95,403.59,681.61,7,0,3
1094.a4.txt,a4,1185.73,1175.24,587.62,566.63,8,1,1
1095.a4.txt,a4,1525.61,1135.86,579.06,679.29,9,0,0
1098.a4.txt,a4,1383.65,1090.15,482.18,555.56,9,0,1
1099.a4.txt,a4,1457.73,1156.46,252.67,651.12,8,0,2
1100.a4.txt,a4,1422.64,1100.73,425.75,612.67,6,0,2
1102.a4.txt,a4,1404.72,1090.37,422.4,795.68,7,1,3
1103.a4.txt,a4,1552.6,1031.66,490.3,561.8,9,0,2
1104.a4.txt,a4,1625.62,975.37,334.98,679.8,9,0,2
1112.a4.txt,a4,1447.62,1133.33,533.33,609.52,7,0,1
1121.a4.txt,a4,1568.1,1075.27,537.63,564.52,7,0,2
2000.a4.txt,a4,1786.45,944.56,441.48,636.55,6,0,2
2005.a4.txt,a4,1615.99,1112.08,529.97,503.91,7,0,3
2007.a4.txt,a4,1405.62,1104.42,441.77,471.89,7,1,3
2008.a4.txt,a4,1304.35,1202.05,498.72,780.05,4,0,1
2011.a4.txt,a4,1785.05,915.89,373.83,775.7,8,0,2
2012.a4.txt,a4,1625.41,1014.85,288.78,651.82,10,0,2
2014.a4.txt,a4,1359.31,1056.28,398.27,666.67,7,0,1
2015.a4.txt,a4,1576.14,1033.01,489.88,596.38,10,1,3
2017.a4.txt,a4,1661.81,1059.28,427.6,621.96,6,0,0
2018.a4.txt,a4,1765.31,1020.41,438.78,734.69,10,0,1
2019.a4.txt,a4,1533.74,1267.89,409.0,480.57,6,0,1
2020.a4.txt,a4,1380.71,1238.58,385.79,548.22,5,0,1
