Filename,Subfolder Name,RelFreq NOUN,RelFreq VERB,RelFreq ADV,RelFreq ADJ,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b1.txt,b1,2039.05,1008.68,238.61,954.45,2,0,3
0105.b1.txt,b1,2002.74,1028.81,850.48,672.15,0,0,1
0122.b1.txt,b1,2122.97,1194.9,510.44,754.06,0,0,0
0134.b1.txt,b1,1988.89,1000.0,655.56,800.0,0,0,0
0139.b1.txt,b1,1891.28,1200.45,453.0,736.13,0,0,0
0140.b1.txt,b1,2151.59,1014.67,537.9,721.27,1,0,0
0165.b1.txt,b1,2019.76,954.99,592.76,570.8,9,0,0
0171.b1.txt,b1,2071.61,997.44,575.45,626.6,3,0,0
0200.b1.txt,b1,2209.88,1049.38,814.81,777.78,0,1,2
0300.b1.txt,b1,1654.22,907.15,565.64,1152.61,15,0,3
0304.b1.txt,b1,1763.78,1291.34,614.17,740.16,1,0,0
0307.b1.txt,b1,2063.67,845.23,285.4,691.55,12,0,3
0308.b1.txt,b1,1910.65,969.58,722.43,922.05,1,0,0
0310.b1.txt,b1,2027.65,956.22,633.64,702.76,5,0,4
0313.b1.txt,b1,1711.52,1054.9,731.97,645.86,0,0,0
1003.b1.txt,b1,2075.47,954.5,455.05,965.59,6,0,5
1006.b1.txt,b1,2020.79,946.88,519.63,831.41,0,1,5
1006.b1i.txt,b1,2020.79,946.88,519.63,831.41,0,1,5
1012.b1.txt,b1,2178.22,952.97,396.04,816.83,0,0,0
1021.b1.txt,b1,1731.21,911.16,569.48,888.38,1,0,2
1023.b1.txt,b1,1799.79,851.97,798.72,1075.61,1,0,5
1057.b1.txt,b1,1730.77,1221.15,692.31,759.62,0,1,0
1066.b1.txt,b1,1927.57,1004.67,595.79,1074.77,1,0,3
1069.b1.txt,b1,1607.95,822.04,614.27,641.37,6,1,8
1081.b1.txt,b1,1914.67,1123.83,499.48,759.63,2,0,3
1097.b1.txt,b1,1939.09,954.31,588.83,934.01,9,0,2
1100.b1.txt,b1,1981.51,1070.01,554.82,1136.06,0,0,0
1102.b1.txt,b1,2277.9,968.11,466.97,671.98,0,0,4
1104.b1.txt,b1,1853.87,937.84,545.26,708.83,5,0,5
1104.b1i.txt,b1,1853.87,937.84,545.26,708.83,5,0,5
1112.b1.txt,b1,2082.02,1135.65,588.85,672.98,0,0,0
