task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Reading in data,2024-05-20T12:43:48,Assignment_3,324b026b-6094-4d53-a3b2-14b7e9838b4e,0.6486806869506836,5.99370518457141e-06,9.20008023008364e-06,42.5,0.0,141.20075082778934,7.690871755282084e-06,0,2.5530343337288556e-05,3.322121509257064e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
loading model,2024-05-20T12:44:02,Assignment_3,324b026b-6094-4d53-a3b2-14b7e9838b4e,13.344018459320068,0.0001228187939084988,9.205464997372009e-06,42.5,0.0,141.20075082778934,0.00015750678380330405,0,0.0005232390060208753,0.0006807457898241793,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Get argparse arguments,2024-05-20T12:44:02,Assignment_3,324b026b-6094-4d53-a3b2-14b7e9838b4e,0.0032930374145507812,2.9241747527157308e-08,8.445722257274894e-06,42.5,0.0,141.20075082778934,3.982749250200108e-08,0,1.2225027982201014e-07,1.6207777232401122e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Calculating stats for artist and song,2024-05-20T12:44:03,Assignment_3,324b026b-6094-4d53-a3b2-14b7e9838b4e,0.8682861328125,7.9880104458165e-06,9.201796013706489e-06,42.5,0.0,141.20075082778934,1.0247070590654997e-05,0,3.4027948785552136e-05,4.4275019376207e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
