task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Prepare data log_reg,2024-05-20T12:01:44,Assignment_2_log_reg,943599e2-b80a-4d7b-be95-04725bd8afbd,0.42969536781311035,3.986195137187904e-06,9.198703000477986e-06,42.5,0.0,141.20075082778934,5.114860501554278e-06,0,1.6979360347739604e-05,2.2094220849293882e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Fitting log_reg model,2024-05-20T12:02:08,Assignment_2_log_reg,943599e2-b80a-4d7b-be95-04725bd8afbd,24.500896692276,0.00022552834910676985,9.205855356667393e-06,42.5,0.0,141.20075082778934,0.0002892141398456362,0,0.0009608182799061061,0.0012500324197517424,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Save log_reg metrics,2024-05-20T12:02:08,Assignment_2_log_reg,943599e2-b80a-4d7b-be95-04725bd8afbd,0.043117523193359375,3.9483187458489257e-07,9.132768493348664e-06,42.5,0.0,141.20075082778934,5.091586046748493e-07,0,1.6792697926297333e-06,2.1884283973045825e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
