task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Loop and extract information,2024-05-20T11:58:52,Assignment_1,05b904b5-1220-4f2b-8ae4-6b0294bcb361,203.00640058517456,0.001868930224506182,9.206328187309178e-06,42.5,0.0,141.20075082778934,0.00239658416112264,0,0.007962305885913587,0.010358890047036226,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
merge all csv,2024-05-20T11:58:52,Assignment_1,05b904b5-1220-4f2b-8ae4-6b0294bcb361,0.016705036163330078,1.529297605034046e-07,9.043196196228282e-06,42.5,0.0,141.20075082778934,1.9870400428789042e-07,0,6.489373646639818e-07,8.476413689510048e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
plotting results,2024-05-20T11:58:53,Assignment_1,05b904b5-1220-4f2b-8ae4-6b0294bcb361,0.7484395503997803,6.88532368429127e-06,9.201805834946176e-06,42.5,0.0,141.20075082778934,8.832468423578422e-06,0,2.933070644972266e-05,3.816317487330065e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
