task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Prepare data nn,2024-05-20T12:02:16,Assignment_2_nn,99116182-d229-4416-9722-8f6657b185e5,0.41283512115478516,3.8224250291920995e-06,9.197453663764927e-06,42.5,0.0,141.20075082778934,4.904979467391968e-06,0,1.6281515390061827e-05,2.1186494857453795e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Fitting NN model,2024-05-20T12:19:31,Assignment_2_nn,99116182-d229-4416-9722-8f6657b185e5,1035.6713933944702,0.009534723055080074,9.20635202809218e-06,42.5,0.0,141.20075082778934,0.012226629493633907,0,0.0406213294410626,0.05284795893469651,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
Save NN metrics,2024-05-20T12:19:31,Assignment_2_nn,99116182-d229-4416-9722-8f6657b185e5,0.12923741340637207,1.201828572966468e-06,9.184976286836405e-06,42.5,0.0,141.20075082778934,1.5439387824802558e-06,0,5.117417473360364e-06,6.6613562558423545e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353355407715,machine,N
